Date,open,high,low,close,volume,vwap,transactions,otc
2025-01-02,589.39,591.13,580.5,584.64,50203975.0,585.2169,603951,
2025-01-03,587.53,592.6,586.43,591.95,37888459.0,590.2761,427267,
2025-01-06,596.27,599.7,593.6,595.36,47679442.0,596.1409,468834,
2025-01-07,597.42,597.75,586.78,588.63,60393052.0,590.8864,489809,
2025-01-08,588.7,590.5799,585.195,589.49,47304672.0,588.3646,432460,
2025-01-10,585.88,585.95,578.55,580.49,73105046.0,581.9836,720924,
2025-01-13,575.77,581.75,575.35,581.39,47910060.0,579.1379,505933,
2025-01-14,584.36,585.0,578.35,582.19,48420580.0,581.8863,473554,
2025-01-15,590.325,593.94,589.195,592.78,56900159.0,591.4167,488787,
2025-01-16,594.175,594.35,590.93,591.64,43319662.0,592.4632,409216,
2025-01-17,596.96,599.36,595.61,597.58,58070628.0,597.5292,420955,
2025-01-21,600.67,603.06,598.67,603.05,42532853.0,601.4482,429380,
2025-01-22,605.92,607.82,605.36,606.44,48195973.0,606.4754,367155,
2025-01-23,605.8,609.75,605.52,609.75,41152102.0,608.024,330491,
2025-01-24,609.81,610.78,606.8,607.97,34604693.0,608.5094,360925,
2025-01-27,594.81,599.69,594.64,599.37,70361125.0,598.6762,685466,
2025-01-28,600.62,605.37,597.25,604.52,44433322.0,602.7245,419856,
2025-01-29,603.72,604.13,599.22,601.81,37177429.0,602.0794,426224,
2025-01-30,603.96,606.6,600.715,605.04,39281255.0,604.0562,419933,
2025-01-31,607.5,609.96,601.05,601.82,66671471.0,604.5232,591698,
2025-02-03,592.67,600.29,590.49,597.77,65857248.0,596.8126,732165,
2025-02-04,597.83,602.3,597.28,601.78,33457815.0,600.608,381974,
2025-02-05,600.64,604.37,598.58,604.22,30653149.0,602.3664,358145,
2025-02-06,605.99,606.4525,602.63,606.32,35771503.0,605.3225,351828,
2025-02-07,606.89,608.13,600.05,600.77,50788516.0,602.8969,563117,
2025-02-10,604.03,605.4999,602.74,604.85,26048714.0,604.2397,393995,
2025-02-11,602.55,605.86,602.43,605.31,30056740.0,604.5604,408321,
2025-02-12,599.2,604.55,598.51,603.36,45076076.0,601.9544,435863,
2025-02-13,604.48,609.94,603.2,609.73,40921297.0,607.458,426318,
2025-02-14,609.94,610.99,609.07,609.7,26910448.0,610.0263,330615,
2025-02-18,610.88,611.49,608.38,611.49,26749030.0,610.1853,364168,
2025-02-19,610.08,613.23,609.56,612.93,31011072.0,611.643,334371,
2025-02-20,611.54,611.684,607.02,610.38,36554002.0,609.4303,388456,
2025-02-21,610.16,610.3,599.47,599.94,76519818.0,603.6783,628050,
2025-02-24,602.02,603.03,596.49,597.21,50737213.0,599.0337,600743,
2025-02-25,597.15,597.89,589.56,594.24,58266472.0,594.098,712191,
2025-02-26,595.93,599.58,591.8556,594.54,43321578.0,595.5992,638726,
2025-02-27,596.85,598.02,584.65,585.05,74196664.0,590.3892,758876,
2025-02-28,585.56,594.72,582.44,594.18,88744106.0,588.2878,780013,
2025-03-03,596.18,597.34,579.9,583.77,74249199.0,587.977,839118,
2025-03-04,579.71,585.39,572.25,576.86,109648212.0,578.3231,1056746,
2025-03-05,576.69,584.88,573.0795,583.06,71230528.0,579.8465,809705,
2025-03-06,575.48,580.1736,570.12,572.71,80094868.0,574.5268,869697,
2025-03-07,570.9,577.39,565.63,575.92,81158816.0,572.548,874097,
2025-03-10,567.59,569.54,555.59,560.58,99326624.0,563.4826,1007965,
2025-03-11,559.4,564.02,552.02,555.92,88102109.0,557.6351,935563,
2025-03-12,562.17,563.11,553.69,558.87,69588167.0,559.4644,687059,
2025-03-13,558.49,559.105,549.68,551.42,74079414.0,553.5336,747045,
2025-03-14,556.11,563.83,551.4917,562.81,62660321.0,559.6853,616222,
2025-03-17,562.79,569.71,562.35,567.15,49008709.0,566.1538,538126,
2025-03-18,564.8,565.02,559.06,561.02,66041422.0,561.5116,572401,
2025-03-19,562.83,570.95,561.63,567.13,66555985.0,566.0091,584808,
2025-03-20,563.33,570.57,562.6012,565.49,62958195.0,566.3677,540297,
2025-03-21,559.28,564.89,558.03,563.98,83762964.0,562.124,559082,
2025-03-24,570.8,575.15,570.2,574.08,58766795.0,573.0182,506258,
2025-03-25,575.3,576.41,573.69,575.46,38355735.0,574.9591,389951,
2025-03-26,575.19,576.33,567.19,568.59,52228898.0,570.5743,501105,
2025-03-27,567.18,570.9,564.94,567.08,42164248.0,568.1559,456704,
2025-03-28,565.53,566.2675,555.07,555.66,71662653.0,558.2616,650391,
2025-03-31,549.83,560.7112,546.87,559.39,95328213.0,555.9019,754584,
