symbol,expiration_date,strike_price,type,underlying_ticker,exercise_style,primary_exchange
O:AAPL251114C00110000,2025-11-14,110.0,call,AAPL,american,BATO
O:AAPL251114C00120000,2025-11-14,120.0,call,AAPL,american,BATO
O:AAPL251114C00125000,2025-11-14,125.0,call,AAPL,american,BATO
O:AAPL251114C00130000,2025-11-14,130.0,call,AAPL,american,BATO
O:AAPL251114C00135000,2025-11-14,135.0,call,AAPL,american,BATO
O:AAPL251114C00140000,2025-11-14,140.0,call,AAPL,american,BATO
O:AAPL251114C00145000,2025-11-14,145.0,call,AAPL,american,BATO
O:AAPL251114C00150000,2025-11-14,150.0,call,AAPL,american,BATO
O:AAPL251114C00155000,2025-11-14,155.0,call,AAPL,american,BATO
O:AAPL251114C00160000,2025-11-14,160.0,call,AAPL,american,BATO
O:AAPL251114C00165000,2025-11-14,165.0,call,AAPL,american,BATO
O:AAPL251114C00170000,2025-11-14,170.0,call,AAPL,american,BATO
O:AAPL251114C00175000,2025-11-14,175.0,call,AAPL,american,BATO
O:AAPL251114C00180000,2025-11-14,180.0,call,AAPL,american,BATO
O:AAPL251114C00185000,2025-11-14,185.0,call,AAPL,american,BATO
O:AAPL251114C00190000,2025-11-14,190.0,call,AAPL,american,BATO
O:AAPL251114C00195000,2025-11-14,195.0,call,AAPL,american,BATO
O:AAPL251114C00200000,2025-11-14,200.0,call,AAPL,american,BATO
O:AAPL251114C00205000,2025-11-14,205.0,call,AAPL,american,BATO
O:AAPL251114C00210000,2025-11-14,210.0,call,AAPL,american,BATO
O:AAPL251114C00215000,2025-11-14,215.0,call,AAPL,american,BATO
O:AAPL251114C00220000,2025-11-14,220.0,call,AAPL,american,BATO
O:AAPL251114C00222500,2025-11-14,222.5,call,AAPL,american,BATO
O:AAPL251114C00225000,2025-11-14,225.0,call,AAPL,american,BATO
O:AAPL251114C00227500,2025-11-14,227.5,call,AAPL,american,BATO
O:AAPL251114C00230000,2025-11-14,230.0,call,AAPL,american,BATO
O:AAPL251114C00232500,2025-11-14,232.5,call,AAPL,american,BATO
O:AAPL251114C00235000,2025-11-14,235.0,call,AAPL,american,BATO
