Date,open,high,low,close,volume,vwap,transactions,otc
2025-10-27,16.56,17.36,16.16,17.0,40,16.9485,12,
2025-10-28,19.0,20.55,18.93,20.55,8,19.96,4,
2025-10-29,21.28,21.36,18.55,18.55,11,20.0218,5,
2025-10-30,15.43,17.42,14.78,14.78,33,16.0345,6,
2025-10-31,16.35,17.09,14.25,14.25,22,15.2095,10,
2025-11-03,16.94,16.94,13.3,15.41,8,14.8962,8,
2025-11-04,9.1,12.19,8.38,8.8,1746,9.668,199,
2025-11-05,8.33,12.27,7.92,9.41,488,10.2762,65,
2025-11-06,8.84,8.91,3.84,4.71,11062,4.6596,1751,
2025-11-07,2.56,3.93,0.82,3.8,112600,1.9218,17070,
