symbol,expiration_date,strike_price,type,underlying_ticker,exercise_style,primary_exchange,delta,gamma,theta,vega,rho
O:AAPL251114C00110000,2025-11-14,110.0,call,AAPL,american,BATO,1.0,0.0,-0.01505817579870835,0.0,0.01505817579870835
O:AAPL251114C00120000,2025-11-14,120.0,call,AAPL,american,BATO,1.0,0.0,-0.0164271008713182,0.0,0.0164271008713182
O:AAPL251114C00125000,2025-11-14,125.0,call,AAPL,american,BATO,1.0,0.0,-0.017111563407623126,0.0,0.017111563407623126
O:AAPL251114C00130000,2025-11-14,130.0,call,AAPL,american,BATO,1.0,0.0,-0.01779602594392805,0.0,0.01779602594392805
O:AAPL251114C00135000,2025-11-14,135.0,call,AAPL,american,BATO,1.0,0.0,-0.018480488480232975,0.0,0.018480488480232975
O:AAPL251114C00140000,2025-11-14,140.0,call,AAPL,american,BATO,1.0,0.0,-0.0191649510165379,0.0,0.019164951016537903
O:AAPL251114C00145000,2025-11-14,145.0,call,AAPL,american,BATO,1.0,0.0,-0.019849413552842827,0.0,0.019849413552842823
O:AAPL251114C00150000,2025-11-14,150.0,call,AAPL,american,BATO,1.0,0.0,-0.02053387608914775,0.0,0.020533876089147748
O:AAPL251114C00155000,2025-11-14,155.0,call,AAPL,american,BATO,1.0,0.0,-0.021218338625452676,0.0,0.02121833862545268
O:AAPL251114C00160000,2025-11-14,160.0,call,AAPL,american,BATO,1.0,0.0,-0.0219028011617576,0.0,0.0219028011617576
O:AAPL251114C00165000,2025-11-14,165.0,call,AAPL,american,BATO,1.0,0.0,-0.022587263698062528,0.0,0.022587263698062524
O:AAPL251114C00170000,2025-11-14,170.0,call,AAPL,american,BATO,1.0,0.0,-0.023271726234367452,0.0,0.02327172623436745
O:AAPL251114C00175000,2025-11-14,175.0,call,AAPL,american,BATO,1.0,0.0,-0.023956188770672376,0.0,0.023956188770672373
O:AAPL251114C00180000,2025-11-14,180.0,call,AAPL,american,BATO,1.0,0.0,-0.0246406513069773,0.0,0.0246406513069773
O:AAPL251114C00185000,2025-11-14,185.0,call,AAPL,american,BATO,1.0,0.0,-0.02532511384328223,0.0,0.025325113843282225
O:AAPL251114C00190000,2025-11-14,190.0,call,AAPL,american,BATO,1.0,0.0,-0.026009576379587153,0.0,0.02600957637958715
O:AAPL251114C00195000,2025-11-14,195.0,call,AAPL,american,BATO,1.0,0.0,-0.026694038915892077,0.0,0.026694038915892077
O:AAPL251114C00200000,2025-11-14,200.0,call,AAPL,american,BATO,1.0,0.0,-0.027378501452197,0.0,0.027378501452197
O:AAPL251114C00205000,2025-11-14,205.0,call,AAPL,american,BATO,1.0,0.0,-0.028062963988501926,0.0,0.028062963988501926
O:AAPL251114C00210000,2025-11-14,210.0,call,AAPL,american,BATO,1.0,0.0,-0.02874742652480685,0.0,0.02874742652480685
O:AAPL251114C00215000,2025-11-14,215.0,call,AAPL,american,BATO,1.0,0.0,-0.029431889061111775,0.0,0.029431889061111775
O:AAPL251114C00220000,2025-11-14,220.0,call,AAPL,american,BATO,1.0,0.0,-0.0301163515974167,0.0,0.0301163515974167
O:AAPL251114C00222500,2025-11-14,222.5,call,AAPL,american,BATO,1.0,0.0,-0.030458582865569163,0.0,0.030458582865569163
O:AAPL251114C00225000,2025-11-14,225.0,call,AAPL,american,BATO,1.0,0.0,-0.03080081413372163,0.0,0.030800814133721627
O:AAPL251114C00227500,2025-11-14,227.5,call,AAPL,american,BATO,1.0,0.0,-0.03114304540187409,0.0,0.031143045401874087
O:AAPL251114C00230000,2025-11-14,230.0,call,AAPL,american,BATO,1.0,0.0,-0.031485276670026555,0.0,0.03148527667002655
O:AAPL251114C00232500,2025-11-14,232.5,call,AAPL,american,BATO,1.0,0.0,-0.03182750793817902,0.0,0.03182750793817901
O:AAPL251114C00235000,2025-11-14,235.0,call,AAPL,american,BATO,1.0,0.0,-0.032169739206331475,0.0,0.032169739206331475
O:AAPL251114C00237500,2025-11-14,237.5,call,AAPL,american,BATO,1.0,0.0,-0.03251197047448394,0.0,0.03251197047448394
O:AAPL251114C00240000,2025-11-14,240.0,call,AAPL,american,BATO,1.0,0.0,-0.0328542017426364,0.0,0.0328542017426364
O:AAPL251114C00242500,2025-11-14,242.5,call,AAPL,american,BATO,1.0,0.0,-0.03319643301078887,0.0,0.03319643301078887
O:AAPL251114C00245000,2025-11-14,245.0,call,AAPL,american,BATO,1.0,0.0,-0.03353866427894133,0.0,0.033538664278941324
O:AAPL251114C00247500,2025-11-14,247.5,call,AAPL,american,BATO,1.0,0.0,-0.03388089554709379,0.0,0.03388089554709379
